piece_title,composer,year_of_composition,era,piece_slug
Aimons-nous et dormons,"Debussy, Claude",1880,Romantic,debussy-claude-aimonsnous-et-dormons
Andante and Tempo di Marcia Funebra,"Debussy, Claude",1881,Romantic,debussy-claude-andante-and-tempo-di-marcia-funebra
Les angélus,"Debussy, Claude",1892 (February),Romantic,debussy-claude-les-anglus
Apparition,"Debussy, Claude","1884 (8 February), Ville d'Avray",Romantic,debussy-claude-apparition
2 Arabesques,"Debussy, Claude",1890-91,Romantic,debussy-claude-2-arabesques
Ariettes oubliées,"Debussy, Claude","1885-87, rev.1903  1 and 2: March 18873 and 4: 6 and 10 January 18855: January 1886",Romantic,debussy-claude-ariettes-oublies
La boîte à joujoux,"Debussy, Claude",1913,Romantic,debussy-claude-la-bote--joujoux
Berceuse héroïque,"Debussy, Claude",1914 (November),Romantic,debussy-claude-berceuse-hroque
La belle au bois dormant,"Debussy, Claude",1890,Romantic,debussy-claude-la-belle-au-bois-dormant
Beau soir,"Debussy, Claude","1880 ca., rev.1890-91",Romantic,debussy-claude-beau-soir
Ballade,"Debussy, Claude",1890,Romantic,debussy-claude-ballade
3 Ballades de François Villon,"Debussy, Claude",1910,Romantic,debussy-claude-3-ballades-de-franois-villon
Children's Corner,"Debussy, Claude",1906-1908,Romantic,debussy-claude-childrens-corner
3 Chansons de France,"Debussy, Claude",1904,Romantic,debussy-claude-3-chansons-de-france
3 Chansons de Charles d'Orléans,"Debussy, Claude","1898 (nos.1, 3), 1908 (no.2)",Romantic,debussy-claude-3-chansons-de-charles-dorlans
3 Chansons de Bilitis,"Debussy, Claude",1897-98,Romantic,debussy-claude-3-chansons-de-bilitis
Chanson espagnole,"Debussy, Claude",1883,Romantic,debussy-claude-chanson-espagnole
Cello Sonata,"Debussy, Claude",1915 (July-August),Romantic,debussy-claude-cello-sonata
D'un cahier d'esquisses,"Debussy, Claude",1903–04 (January),Romantic,debussy-claude-dun-cahier-desquisses
Divertissement,"Debussy, Claude",1882,Romantic,debussy-claude-divertissement
Diane Ouverture,"Debussy, Claude",1881,Romantic,debussy-claude-diane-ouverture
Diane au bois,"Debussy, Claude",1883-86,Romantic,debussy-claude-diane-au-bois
Danse,"Debussy, Claude",1890,Romantic,debussy-claude-danse
Danse sacrée et danse profane,"Debussy, Claude",1904 (April-May),Romantic,debussy-claude-danse-sacre-et-danse-profane
Danse bohémienne,"Debussy, Claude",1880,Romantic,debussy-claude-danse-bohmienne
Dans le jardin,"Debussy, Claude",1903 (May),Romantic,debussy-claude-dans-le-jardin
La damoiselle élue,"Debussy, Claude","1887-88, reorchestrated 1902",Romantic,debussy-claude-la-damoiselle-lue
Etudes,"Debussy, Claude",1915 (July 23 to September 29),Romantic,debussy-claude-etudes
Estampes,"Debussy, Claude",1903 July,Romantic,debussy-claude-estampes
6 Épigraphes antiques,"Debussy, Claude",1914-15,Romantic,debussy-claude-6-pigraphes-antiques
L'enfant prodigue,"Debussy, Claude","1884, rev.1907",Romantic,debussy-claude-lenfant-prodigue
